Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9964871194379391,0.9965068547219956,0.9964871194379391,0.9964838722568181
Decision Tree,0.9941451990632318,0.9941445291775411,0.9941451990632318,0.9941434143623403
Gradient Boosting,0.9941451990632318,0.9941445291775411,0.9941451990632318,0.9941434143623403
Logistic Regression,0.8079625292740047,0.810079322046189,0.8079625292740047,0.801346560814412
SVM,0.6217798594847775,0.3866101936609097,0.6217798594847775,0.47677271535944676
Naive Bayes,0.6217798594847775,0.3866101936609097,0.6217798594847775,0.47677271535944676
